feedback,segment,feature
"Login screen is slow and crashes often","New Users","Login"
"Love the new dashboard, much easier to use","Power Users","Dashboard"
"Payment fails every time I use a saved card","Returning Users","Payments"
"The search bar doesn't return any results","New Users","Search"
"App layout is clean and smooth","Power Users","UI/UX"
"Notifications are delayed and sometimes don’t show up","Returning Users","Notifications"
"Pricing page is confusing","New Users","Pricing"
"Checkout experience is flawless","Returning Users","Checkout"
"App crashes when I try to upload a file","Power Users","Uploads"
"Customer support takes too long to respond","Returning Users","Support"
